Timestamp,Temperature(°C),Temperature(°F)
2026-02-04 13:25:51,23.69,74.64
2026-02-04 13:25:52,23.75,74.75
2026-02-04 13:25:54,23.75,74.75
2026-02-04 13:25:56,23.75,74.75
2026-02-04 13:25:58,23.75,74.75
2026-02-04 13:26:00,23.75,74.75
2026-02-04 13:26:01,23.88,74.97
2026-02-04 13:26:03,24.44,75.99
2026-02-04 13:26:05,25.19,77.34
2026-02-04 13:26:07,25.88,78.58
2026-02-04 13:26:09,26.50,79.70
2026-02-04 13:26:10,27.31,81.16
2026-02-04 13:26:12,28.00,82.40
2026-02-04 13:26:14,28.56,83.41
2026-02-04 13:26:16,29.00,84.20
2026-02-04 13:26:18,29.44,84.99
2026-02-04 13:26:19,29.75,85.55
2026-02-04 13:26:21,30.00,86.00
2026-02-04 13:26:23,30.25,86.45
2026-02-04 13:26:25,30.50,86.90
2026-02-04 13:26:27,30.69,87.24
2026-02-04 13:26:28,30.81,87.46
2026-02-04 13:26:30,31.00,87.80
2026-02-04 13:26:32,31.12,88.03
2026-02-04 13:26:34,31.25,88.25
2026-02-04 13:26:35,31.38,88.47
2026-02-04 13:26:37,31.50,88.70
2026-02-04 13:26:39,31.62,88.92
2026-02-04 13:26:41,31.75,89.15
2026-02-04 13:26:43,31.88,89.38
2026-02-04 13:26:44,31.94,89.49
2026-02-04 13:26:46,32.06,89.71
2026-02-04 13:26:48,32.12,89.83
2026-02-04 13:26:50,32.19,89.94
2026-02-04 13:26:52,32.25,90.05
2026-02-04 13:26:53,32.44,90.39
2026-02-04 13:26:55,32.50,90.50
2026-02-04 13:26:57,32.56,90.61
2026-02-04 13:26:59,32.62,90.72
2026-02-04 13:27:01,32.69,90.84
